,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
158,中信託文,15.06,6.8,8.26,104.67,105.0,元大復北,28.12,33.03,-4.91,105.09,104.88
159,永豐中正,12.26,4.0,8.26,105.0,105.0,大昌,5.1,10.0,-4.9,104.9,104.85
160,元富新興,10.54,2.3,8.24,104.95,105.0,國泰松江,23.34,28.23,-4.89,104.76,104.79
161,第一豐原,9.1,1.0,8.1,105.0,105.0,華南高雄,2.2,7.0,-4.8,104.77,104.93
162,合庫台南,10.1,2.0,8.1,104.6,105.0,凱基幸福,1.35,6.1,-4.75,105.0,105.0
163,美好中壢,8.02,0.0,8.02,104.81,0.0,土銀花蓮,1.0,5.41,-4.41,105.0,105.04
164,統一士林,8.0,0.0,8.0,104.88,0.0,元大楊梅,3.0,7.2,-4.2,105.0,105.0
165,福勝,15.0,7.0,8.0,104.6,105.0,國泰桃園,19.05,23.2,-4.14,105.0,104.98
166,日盛高雄,15.0,7.0,8.0,104.8,105.0,富邦宜蘭,3.15,7.25,-4.1,104.68,105.01
167,元大金門,15.0,7.0,8.0,105.03,105.0,富邦竹東,7.02,11.1,-4.08,105.0,105.0
168,國票台東,9.0,1.0,8.0,104.61,105.0,群益西松,1.0,5.04,-4.04,104.5,105.1
169,元大仁愛,11.0,3.0,8.0,105.0,105.0,玉山新莊,8.0,12.03,-4.03,104.69,105.0
170,國票北高,10.0,2.0,8.0,104.75,105.0,永豐新莊,4.01,8.04,-4.03,105.12,105.0
171,日盛木柵,11.0,3.0,8.0,104.77,104.83,亞東,7.05,11.05,-4.0,105.0,105.0
172,元大苗栗,10.01,2.1,7.91,105.0,105.0,企銀埔墘,0.0,4.0,-4.0,0.0,105.0
173,日盛頭份,11.15,3.5,7.65,104.73,105.0,合庫新竹,0.0,4.0,-4.0,0.0,104.75
174,元大學府,9.3,2.0,7.3,104.91,105.0,群益高雄,4.0,8.0,-4.0,104.88,105.0
175,統一三重,13.4,6.2,7.2,105.0,105.0,康和新竹,1.0,5.0,-4.0,105.0,105.0
176,華南東昇,9.19,2.0,7.19,105.0,105.0,中信中壢,4.0,8.0,-4.0,104.5,105.0
177,凱基彰化,33.14,26.01,7.13,104.52,104.88,美好富順,9.0,13.0,-4.0,105.0,105.0
178,統一中壢,13.05,6.0,7.05,105.0,104.83,日盛忠孝,0.0,4.0,-4.0,105.0,105.0
179,統一屏東,8.05,1.0,7.05,105.12,105.0,凱基林口,1.02,5.0,-3.98,105.0,105.0
180,兆豐新莊,7.05,0.0,7.05,105.0,0.0,康和復興,0.03,4.0,-3.97,105.0,105.0
181,日盛園區,7.05,0.0,7.05,105.07,0.0,富邦永和,1.1,5.04,-3.94,105.0,104.8
182,元大嘉義,9.01,2.01,7.0,105.0,105.0,凱基竹科,4.1,8.0,-3.9,104.76,104.5
183,永興水湳,7.0,0.0,7.0,104.86,0.0,中信託高,9.1,13.0,-3.9,104.95,105.04
184,兆豐麻豆,8.0,1.0,7.0,105.0,105.0,群益海山,3.1,7.0,-3.9,105.0,105.0
185,統一台中,12.0,5.0,7.0,104.75,104.9,日盛二林,0.14,4.0,-3.86,105.0,105.0
186,永豐竹北,8.0,1.03,6.97,105.0,105.0,元大北屯,1.3,5.02,-3.72,105.0,104.7
187,元大大里,16.21,9.3,6.91,104.85,105.0,新光高雄,21.25,24.5,-3.25,104.98,105.02
